NOx,NO,NO2
2017-04-01 01:00:00,5.86245,0.21703000000000003,5.529669999999999
2017-04-01 02:00:00,5.69543,0.48768999999999996,4.94764
2017-04-01 03:00:00,2.99784,0.42283999999999994,2.34951
2017-04-01 04:00:00,13.190029999999998,2.47215,9.399460000000001
2017-04-01 05:00:00,16.78793,2.01657,13.695889999999999
2017-04-01 06:00:00,90.93507,27.677590000000002,48.4967
2017-04-01 07:00:00,69.69915,17.85541,42.32123
2017-04-01 08:00:00,60.20646,14.603079999999999,37.81538
2017-04-01 09:00:00,62.90452,19.123920000000002,33.581590000000006
2017-04-01 10:00:00,66.55165,19.904410000000002,36.03198
2017-04-01 11:00:00,55.110119999999995,15.74124,30.97389
2017-04-01 12:00:00,36.32411,8.16358,23.8068
2017-04-01 13:00:00,34.675059999999995,7.707999999999999,22.856289999999998
2017-04-01 14:00:00,31.87707,6.9275,21.25505
2017-04-01 15:00:00,36.52397,8.03324,24.20651
2017-04-01 16:00:00,48.415890000000005,9.529060000000001,33.80487
2017-04-01 17:00:00,53.811530000000005,10.04981,38.40204
2017-04-01 18:00:00,40.22083,5.20374,32.24188
2017-04-01 19:00:00,44.818000000000005,5.30134,36.6894
2017-04-01 20:00:00,67.45101,14.375129999999999,45.409440000000004
2017-04-01 21:00:00,96.13086,21.465410000000002,63.217690000000005
2017-04-01 22:00:00,72.7974,15.481179999999998,49.05993
2017-04-01 23:00:00,39.52133,3.87037,33.58685
2017-04-02 00:00:00,46.43295,6.59115,36.32666
2017-04-02 01:00:00,61.22231,13.399329999999999,40.67696
2017-04-02 02:00:00,50.063990000000004,7.57797,38.4446
2017-04-02 03:00:00,69.15026,11.18797,51.99562
2017-04-02 04:00:00,116.56591999999999,44.687020000000004,48.04678
2017-04-02 05:00:00,166.57971,74.86856,51.78285
2017-04-02 06:00:00,183.2677,81.66603,58.0482
2017-04-02 07:00:00,201.55551,95.68381,54.842369999999995
2017-04-02 08:00:00,193.76063,84.91837,63.55429
2017-04-02 09:00:00,148.14368000000002,53.33829,66.35945
2017-04-02 10:00:00,81.39121999999999,25.46581,42.34418
2017-04-02 11:00:00,72.0979,26.571540000000002,31.35544
2017-04-02 12:00:00,82.34078000000001,27.124409999999997,40.75059
2017-04-02 13:00:00,55.36018000000001,14.92831,32.47043
2017-04-02 14:00:00,79.9927,27.77457,37.40563
2017-04-02 15:00:00,53.11204,12.48922,33.96218
2017-04-02 16:00:00,39.57154,9.33417,25.259339999999998
2017-04-02 17:00:00,37.872279999999996,7.22,26.801779999999997
2017-04-02 18:00:00,77.14403,16.554479999999998,51.76086
2017-04-02 19:00:00,62.85431,10.37473,46.94662
